action,sample_id,cam_0_path,cam_1_path,cam_2_path,cam_3_path,split
rock,rock-set2 (65),./dataset/mv3d_salux/rock/rock-set2 (65)/cam_0.npy,./dataset/mv3d_salux/rock/rock-set2 (65)/cam_1.npy,./dataset/mv3d_salux/rock/rock-set2 (65)/cam_2.npy,./dataset/mv3d_salux/rock/rock-set2 (65)/cam_3.npy,train
ok,ok_Set2_ (242),./dataset/mv3d_salux/ok/ok_Set2_ (242)/cam_0.npy,./dataset/mv3d_salux/ok/ok_Set2_ (242)/cam_1.npy,./dataset/mv3d_salux/ok/ok_Set2_ (242)/cam_2.npy,./dataset/mv3d_salux/ok/ok_Set2_ (242)/cam_3.npy,train
thumbdown,thumbdown (152),./dataset/mv3d_salux/thumbdown/thumbdown (152)/cam_0.npy,./dataset/mv3d_salux/thumbdown/thumbdown (152)/cam_1.npy,./dataset/mv3d_salux/thumbdown/thumbdown (152)/cam_2.npy,./dataset/mv3d_salux/thumbdown/thumbdown (152)/cam_3.npy,train
thumbdown,thumbdown_864,./dataset/mv3d_salux/thumbdown/thumbdown_864/cam_0.npy,./dataset/mv3d_salux/thumbdown/thumbdown_864/cam_1.npy,./dataset/mv3d_salux/thumbdown/thumbdown_864/cam_2.npy,./dataset/mv3d_salux/thumbdown/thumbdown_864/cam_3.npy,train
scissors,scissors-set2 (183),./dataset/mv3d_salux/scissors/scissors-set2 (183)/cam_0.npy,./dataset/mv3d_salux/scissors/scissors-set2 (183)/cam_1.npy,./dataset/mv3d_salux/scissors/scissors-set2 (183)/cam_2.npy,./dataset/mv3d_salux/scissors/scissors-set2 (183)/cam_3.npy,train
thumbdown,thumbdown (149),./dataset/mv3d_salux/thumbdown/thumbdown (149)/cam_0.npy,./dataset/mv3d_salux/thumbdown/thumbdown (149)/cam_1.npy,./dataset/mv3d_salux/thumbdown/thumbdown (149)/cam_2.npy,./dataset/mv3d_salux/thumbdown/thumbdown (149)/cam_3.npy,train
ok,ok_Set2_ (568),./dataset/mv3d_salux/ok/ok_Set2_ (568)/cam_0.npy,./dataset/mv3d_salux/ok/ok_Set2_ (568)/cam_1.npy,./dataset/mv3d_salux/ok/ok_Set2_ (568)/cam_2.npy,./dataset/mv3d_salux/ok/ok_Set2_ (568)/cam_3.npy,train
thumbup,thumbup_6767,./dataset/mv3d_salux/thumbup/thumbup_6767/cam_0.npy,./dataset/mv3d_salux/thumbup/thumbup_6767/cam_1.npy,./dataset/mv3d_salux/thumbup/thumbup_6767/cam_2.npy,./dataset/mv3d_salux/thumbup/thumbup_6767/cam_3.npy,train
the-finger,the-finger-set2 (189),./dataset/mv3d_salux/the-finger/the-finger-set2 (189)/cam_0.npy,./dataset/mv3d_salux/the-finger/the-finger-set2 (189)/cam_1.npy,./dataset/mv3d_salux/the-finger/the-finger-set2 (189)/cam_2.npy,./dataset/mv3d_salux/the-finger/the-finger-set2 (189)/cam_3.npy,train
ok,ok_4019,./dataset/mv3d_salux/ok/ok_4019/cam_0.npy,./dataset/mv3d_salux/ok/ok_4019/cam_1.npy,./dataset/mv3d_salux/ok/ok_4019/cam_2.npy,./dataset/mv3d_salux/ok/ok_4019/cam_3.npy,train
the-finger,the-finger_2282,./dataset/mv3d_salux/the-finger/the-finger_2282/cam_0.npy,./dataset/mv3d_salux/the-finger/the-finger_2282/cam_1.npy,./dataset/mv3d_salux/the-finger/the-finger_2282/cam_2.npy,./dataset/mv3d_salux/the-finger/the-finger_2282/cam_3.npy,train
