action,sample_id,split,orig_input_path,cam_0_path,cam_1_path,cam_2_path,cam_3_path,cam_4_path,cam_5_path,cam_6_path,cam_7_path
rock,rock-set2 (65),train,./dataset/skeleton_final_v2/rock/rock-set2 (65).npy,./dataset/salux_multiview3d_8cam_front/rock/rock-set2 (65)_cam0.npy,./dataset/salux_multiview3d_8cam_front/rock/rock-set2 (65)_cam1.npy,./dataset/salux_multiview3d_8cam_front/rock/rock-set2 (65)_cam2.npy,./dataset/salux_multiview3d_8cam_front/rock/rock-set2 (65)_cam3.npy,./dataset/salux_multiview3d_8cam_front/rock/rock-set2 (65)_cam4.npy,./dataset/salux_multiview3d_8cam_front/rock/rock-set2 (65)_cam5.npy,./dataset/salux_multiview3d_8cam_front/rock/rock-set2 (65)_cam6.npy,./dataset/salux_multiview3d_8cam_front/rock/rock-set2 (65)_cam7.npy
ok,ok_Set2_ (242),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (242).npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (242)_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (242)_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (242)_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (242)_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (242)_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (242)_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (242)_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (242)_cam7.npy
thumbdown,thumbdown (152),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (152).npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (152)_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (152)_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (152)_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (152)_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (152)_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (152)_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (152)_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (152)_cam7.npy
thumbdown,thumbdown_864,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_864.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_864_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_864_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_864_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_864_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_864_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_864_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_864_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_864_cam7.npy
scissors,scissors-set2 (183),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (183).npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (183)_cam0.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (183)_cam1.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (183)_cam2.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (183)_cam3.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (183)_cam4.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (183)_cam5.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (183)_cam6.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (183)_cam7.npy
thumbdown,thumbdown (149),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (149).npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (149)_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (149)_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (149)_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (149)_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (149)_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (149)_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (149)_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (149)_cam7.npy
ok,ok_Set2_ (568),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (568).npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (568)_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (568)_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (568)_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (568)_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (568)_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (568)_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (568)_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (568)_cam7.npy
thumbup,thumbup_6767,train,./dataset/skeleton_final_v2/thumbup/thumbup_6767.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_6767_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_6767_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_6767_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_6767_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_6767_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_6767_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_6767_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_6767_cam7.npy
the-finger,the-finger-set2 (189),train,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (189).npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger-set2 (189)_cam0.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger-set2 (189)_cam1.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger-set2 (189)_cam2.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger-set2 (189)_cam3.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger-set2 (189)_cam4.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger-set2 (189)_cam5.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger-set2 (189)_cam6.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger-set2 (189)_cam7.npy
ok,ok_4019,train,./dataset/skeleton_final_v2/ok/ok_4019.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_4019_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_4019_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_4019_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_4019_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_4019_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_4019_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_4019_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_4019_cam7.npy
