action,sample_id,input_path,split
rock,rock-set2 (65),./dataset/skeleton_final_v2/rock/rock-set2 (65).npy,train
ok,ok_Set2_ (242),./dataset/skeleton_final_v2/ok/ok_Set2_ (242).npy,train
thumbdown,thumbdown (152),./dataset/skeleton_final_v2/thumbdown/thumbdown (152).npy,train
thumbdown,thumbdown_864,./dataset/skeleton_final_v2/thumbdown/thumbdown_864.npy,train
scissors,scissors-set2 (183),./dataset/skeleton_final_v2/scissors/scissors-set2 (183).npy,train
thumbdown,thumbdown (149),./dataset/skeleton_final_v2/thumbdown/thumbdown (149).npy,train
ok,ok_Set2_ (568),./dataset/skeleton_final_v2/ok/ok_Set2_ (568).npy,train
thumbup,thumbup_6767,./dataset/skeleton_final_v2/thumbup/thumbup_6767.npy,train
the-finger,the-finger-set2 (189),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (189).npy,train
ok,ok_4019,./dataset/skeleton_final_v2/ok/ok_4019.npy,train
the-finger,the-finger_2282,./dataset/skeleton_final_v2/the-finger/the-finger_2282.npy,train
scissors,scissors-set2 (150),./dataset/skeleton_final_v2/scissors/scissors-set2 (150).npy,train
ok,ok_6184,./dataset/skeleton_final_v2/ok/ok_6184.npy,train
thumbdown,thumbdown_6242,./dataset/skeleton_final_v2/thumbdown/thumbdown_6242.npy,train
paper,paper-set2 (233),./dataset/skeleton_final_v2/paper/paper-set2 (233).npy,train
thumbup,thumbup (151),./dataset/skeleton_final_v2/thumbup/thumbup (151).npy,train
thumbup,thumbup (7),./dataset/skeleton_final_v2/thumbup/thumbup (7).npy,train
ok,ok_4100,./dataset/skeleton_final_v2/ok/ok_4100.npy,train
thumbdown,thumbdown (230),./dataset/skeleton_final_v2/thumbdown/thumbdown (230).npy,train
the-finger,the-finger_1357,./dataset/skeleton_final_v2/the-finger/the-finger_1357.npy,train
ok,ok_Set2_ (406),./dataset/skeleton_final_v2/ok/ok_Set2_ (406).npy,train
paper,paper_1854,./dataset/skeleton_final_v2/paper/paper_1854.npy,train
the-finger,the-finger (121),./dataset/skeleton_final_v2/the-finger/the-finger (121).npy,train
scissors,scissors-set2 (320),./dataset/skeleton_final_v2/scissors/scissors-set2 (320).npy,train
ok,ok_6992,./dataset/skeleton_final_v2/ok/ok_6992.npy,train
scissors,scissors (158),./dataset/skeleton_final_v2/scissors/scissors (158).npy,train
scissors,scissors-set2 (573),./dataset/skeleton_final_v2/scissors/scissors-set2 (573).npy,train
thumbdown,thumbdown_8214,./dataset/skeleton_final_v2/thumbdown/thumbdown_8214.npy,train
ok,ok_803,./dataset/skeleton_final_v2/ok/ok_803.npy,train
ok,ok_7674,./dataset/skeleton_final_v2/ok/ok_7674.npy,train
the-finger,the-finger (150),./dataset/skeleton_final_v2/the-finger/the-finger (150).npy,train
the-finger,the-finger_7260,./dataset/skeleton_final_v2/the-finger/the-finger_7260.npy,train
scissors,scissors-set2 (567),./dataset/skeleton_final_v2/scissors/scissors-set2 (567).npy,train
ok,ok_Set2_ (273),./dataset/skeleton_final_v2/ok/ok_Set2_ (273).npy,train
paper,paper_25,./dataset/skeleton_final_v2/paper/paper_25.npy,train
paper,paper_4609,./dataset/skeleton_final_v2/paper/paper_4609.npy,train
paper,paper_2499,./dataset/skeleton_final_v2/paper/paper_2499.npy,train
thumbdown,thumbdown (54),./dataset/skeleton_final_v2/thumbdown/thumbdown (54).npy,train
paper,paper (44),./dataset/skeleton_final_v2/paper/paper (44).npy,train
rock,rock (19),./dataset/skeleton_final_v2/rock/rock (19).npy,train
ok,ok_1197,./dataset/skeleton_final_v2/ok/ok_1197.npy,train
scissors,scissors (74),./dataset/skeleton_final_v2/scissors/scissors (74).npy,train
thumbdown,thumbdown (261),./dataset/skeleton_final_v2/thumbdown/thumbdown (261).npy,train
thumbdown,thumbdown_5311,./dataset/skeleton_final_v2/thumbdown/thumbdown_5311.npy,train
thumbup,thumbup_6002,./dataset/skeleton_final_v2/thumbup/thumbup_6002.npy,train
the-finger,the-finger-set2 (321),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (321).npy,train
thumbdown,thumbdown (37),./dataset/skeleton_final_v2/thumbdown/thumbdown (37).npy,train
thumbup,thumbup (56),./dataset/skeleton_final_v2/thumbup/thumbup (56).npy,train
scissors,scissors-set2 (587),./dataset/skeleton_final_v2/scissors/scissors-set2 (587).npy,train
ok,ok_Set2_ (443),./dataset/skeleton_final_v2/ok/ok_Set2_ (443).npy,train
paper,paper_7968,./dataset/skeleton_final_v2/paper/paper_7968.npy,train
scissors,scissors_6967,./dataset/skeleton_final_v2/scissors/scissors_6967.npy,train
scissors,scissors-set2 (426),./dataset/skeleton_final_v2/scissors/scissors-set2 (426).npy,train
rock,rock (6),./dataset/skeleton_final_v2/rock/rock (6).npy,train
paper,paper (261),./dataset/skeleton_final_v2/paper/paper (261).npy,train
paper,paper-set2 (366),./dataset/skeleton_final_v2/paper/paper-set2 (366).npy,train
the-finger,the-finger_7488,./dataset/skeleton_final_v2/the-finger/the-finger_7488.npy,train
paper,paper-set2 (398),./dataset/skeleton_final_v2/paper/paper-set2 (398).npy,train
scissors,scissors-set2 (664),./dataset/skeleton_final_v2/scissors/scissors-set2 (664).npy,train
ok,ok_7010,./dataset/skeleton_final_v2/ok/ok_7010.npy,train
thumbup,thumbup (314),./dataset/skeleton_final_v2/thumbup/thumbup (314).npy,train
the-finger,the-finger (39),./dataset/skeleton_final_v2/the-finger/the-finger (39).npy,train
thumbup,thumbup (206),./dataset/skeleton_final_v2/thumbup/thumbup (206).npy,train
ok,ok_7685,./dataset/skeleton_final_v2/ok/ok_7685.npy,train
paper,paper-set2 (177),./dataset/skeleton_final_v2/paper/paper-set2 (177).npy,train
thumbup,hand-11-2155,./dataset/skeleton_final_v2/thumbup/hand-11-2155.npy,train
rock,rock-set2 (284),./dataset/skeleton_final_v2/rock/rock-set2 (284).npy,train
thumbdown,thumbdown_2241,./dataset/skeleton_final_v2/thumbdown/thumbdown_2241.npy,train
the-finger,the-finger-set2 (218),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (218).npy,train
the-finger,the-finger_6465,./dataset/skeleton_final_v2/the-finger/the-finger_6465.npy,train
rock,rock_6321,./dataset/skeleton_final_v2/rock/rock_6321.npy,train
paper,paper_4597,./dataset/skeleton_final_v2/paper/paper_4597.npy,train
paper,paper_6707,./dataset/skeleton_final_v2/paper/paper_6707.npy,train
ok,ok_72,./dataset/skeleton_final_v2/ok/ok_72.npy,train
the-finger,the-finger (114),./dataset/skeleton_final_v2/the-finger/the-finger (114).npy,train
scissors,scissors_53,./dataset/skeleton_final_v2/scissors/scissors_53.npy,train
paper,paper-set2 (160),./dataset/skeleton_final_v2/paper/paper-set2 (160).npy,train
thumbdown,thumbdown_4359,./dataset/skeleton_final_v2/thumbdown/thumbdown_4359.npy,train
scissors,scissors-set2 (134),./dataset/skeleton_final_v2/scissors/scissors-set2 (134).npy,train
the-finger,the-finger-set2 (277),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (277).npy,train
thumbdown,thumbdown (216),./dataset/skeleton_final_v2/thumbdown/thumbdown (216).npy,train
thumbdown,thumbdown (198),./dataset/skeleton_final_v2/thumbdown/thumbdown (198).npy,train
the-finger,the-finger (126),./dataset/skeleton_final_v2/the-finger/the-finger (126).npy,train
scissors,scissors (57),./dataset/skeleton_final_v2/scissors/scissors (57).npy,train
thumbup,thumbup_4150,./dataset/skeleton_final_v2/thumbup/thumbup_4150.npy,train
ok,ok_Set2_ (359),./dataset/skeleton_final_v2/ok/ok_Set2_ (359).npy,train
thumbdown,thumbdown_6451,./dataset/skeleton_final_v2/thumbdown/thumbdown_6451.npy,train
scissors,scissors_756,./dataset/skeleton_final_v2/scissors/scissors_756.npy,train
thumbup,thumbup_137,./dataset/skeleton_final_v2/thumbup/thumbup_137.npy,train
ok,ok (119),./dataset/skeleton_final_v2/ok/ok (119).npy,train
paper,paper-set2 (264),./dataset/skeleton_final_v2/paper/paper-set2 (264).npy,train
the-finger,the-finger (7),./dataset/skeleton_final_v2/the-finger/the-finger (7).npy,train
ok,ok (156),./dataset/skeleton_final_v2/ok/ok (156).npy,train
scissors,scissors-set2 (115),./dataset/skeleton_final_v2/scissors/scissors-set2 (115).npy,train
thumbdown,thumbdown_1293,./dataset/skeleton_final_v2/thumbdown/thumbdown_1293.npy,train
paper,paper_2566,./dataset/skeleton_final_v2/paper/paper_2566.npy,train
thumbdown,thumbdown_9018,./dataset/skeleton_final_v2/thumbdown/thumbdown_9018.npy,train
thumbup,thumbup (39),./dataset/skeleton_final_v2/thumbup/thumbup (39).npy,train
the-finger,the-finger_7496,./dataset/skeleton_final_v2/the-finger/the-finger_7496.npy,train
paper,paper-set2 (200),./dataset/skeleton_final_v2/paper/paper-set2 (200).npy,train
thumbdown,thumbdown (96),./dataset/skeleton_final_v2/thumbdown/thumbdown (96).npy,train
rock,rock-set2 (605),./dataset/skeleton_final_v2/rock/rock-set2 (605).npy,train
the-finger,the-finger-set2 (338),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (338).npy,train
thumbdown,thumbdown_554,./dataset/skeleton_final_v2/thumbdown/thumbdown_554.npy,train
scissors,scissors (268),./dataset/skeleton_final_v2/scissors/scissors (268).npy,train
thumbdown,hand-9-2125,./dataset/skeleton_final_v2/thumbdown/hand-9-2125.npy,train
ok,ok (13),./dataset/skeleton_final_v2/ok/ok (13).npy,train
ok,ok (34),./dataset/skeleton_final_v2/ok/ok (34).npy,train
thumbup,thumbup_6759,./dataset/skeleton_final_v2/thumbup/thumbup_6759.npy,train
the-finger,the-finger_7479,./dataset/skeleton_final_v2/the-finger/the-finger_7479.npy,train
the-finger,the-finger-set2 (9),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (9).npy,train
scissors,scissors (328),./dataset/skeleton_final_v2/scissors/scissors (328).npy,train
paper,paper-set2 (211),./dataset/skeleton_final_v2/paper/paper-set2 (211).npy,train
paper,paper_2479,./dataset/skeleton_final_v2/paper/paper_2479.npy,train
paper,paper (258),./dataset/skeleton_final_v2/paper/paper (258).npy,train
paper,paper_727,./dataset/skeleton_final_v2/paper/paper_727.npy,train
