action,sample_id,cam_0_path,cam_2_path,cam_4_path,cam_5_path,split
rock,rock-set2 (65),./dataset/multiview_blender/rock/rock-set2 (65)/Cam_0.npy,./dataset/multiview_blender/rock/rock-set2 (65)/Cam_2.npy,./dataset/multiview_blender/rock/rock-set2 (65)/Cam_4.npy,./dataset/multiview_blender/rock/rock-set2 (65)/Cam_5.npy,train
ok,ok_Set2_ (242),./dataset/multiview_blender/ok/ok_Set2_ (242)/Cam_0.npy,./dataset/multiview_blender/ok/ok_Set2_ (242)/Cam_2.npy,./dataset/multiview_blender/ok/ok_Set2_ (242)/Cam_4.npy,./dataset/multiview_blender/ok/ok_Set2_ (242)/Cam_5.npy,train
thumbdown,thumbdown (152),./dataset/multiview_blender/thumbdown/thumbdown (152)/Cam_0.npy,./dataset/multiview_blender/thumbdown/thumbdown (152)/Cam_2.npy,./dataset/multiview_blender/thumbdown/thumbdown (152)/Cam_4.npy,./dataset/multiview_blender/thumbdown/thumbdown (152)/Cam_5.npy,train
thumbdown,thumbdown_864,./dataset/multiview_blender/thumbdown/thumbdown_864/Cam_0.npy,./dataset/multiview_blender/thumbdown/thumbdown_864/Cam_2.npy,./dataset/multiview_blender/thumbdown/thumbdown_864/Cam_4.npy,./dataset/multiview_blender/thumbdown/thumbdown_864/Cam_5.npy,train
scissors,scissors-set2 (183),./dataset/multiview_blender/scissors/scissors-set2 (183)/Cam_0.npy,./dataset/multiview_blender/scissors/scissors-set2 (183)/Cam_2.npy,./dataset/multiview_blender/scissors/scissors-set2 (183)/Cam_4.npy,./dataset/multiview_blender/scissors/scissors-set2 (183)/Cam_5.npy,train
thumbdown,thumbdown (149),./dataset/multiview_blender/thumbdown/thumbdown (149)/Cam_0.npy,./dataset/multiview_blender/thumbdown/thumbdown (149)/Cam_2.npy,./dataset/multiview_blender/thumbdown/thumbdown (149)/Cam_4.npy,./dataset/multiview_blender/thumbdown/thumbdown (149)/Cam_5.npy,train
ok,ok_Set2_ (568),./dataset/multiview_blender/ok/ok_Set2_ (568)/Cam_0.npy,./dataset/multiview_blender/ok/ok_Set2_ (568)/Cam_2.npy,./dataset/multiview_blender/ok/ok_Set2_ (568)/Cam_4.npy,./dataset/multiview_blender/ok/ok_Set2_ (568)/Cam_5.npy,train
thumbup,thumbup_6767,./dataset/multiview_blender/thumbup/thumbup_6767/Cam_0.npy,./dataset/multiview_blender/thumbup/thumbup_6767/Cam_2.npy,./dataset/multiview_blender/thumbup/thumbup_6767/Cam_4.npy,./dataset/multiview_blender/thumbup/thumbup_6767/Cam_5.npy,train
the-finger,the-finger-set2 (189),./dataset/multiview_blender/the-finger/the-finger-set2 (189)/Cam_0.npy,./dataset/multiview_blender/the-finger/the-finger-set2 (189)/Cam_2.npy,./dataset/multiview_blender/the-finger/the-finger-set2 (189)/Cam_4.npy,./dataset/multiview_blender/the-finger/the-finger-set2 (189)/Cam_5.npy,train
ok,ok_4019,./dataset/multiview_blender/ok/ok_4019/Cam_0.npy,./dataset/multiview_blender/ok/ok_4019/Cam_2.npy,./dataset/multiview_blender/ok/ok_4019/Cam_4.npy,./dataset/multiview_blender/ok/ok_4019/Cam_5.npy,train
the-finger,the-finger_2282,./dataset/multiview_blender/the-finger/the-finger_2282/Cam_0.npy,./dataset/multiview_blender/the-finger/the-finger_2282/Cam_2.npy,./dataset/multiview_blender/the-finger/the-finger_2282/Cam_4.npy,./dataset/multiview_blender/the-finger/the-finger_2282/Cam_5.npy,train
scissors,scissors-set2 (150),./dataset/multiview_blender/scissors/scissors-set2 (150)/Cam_0.npy,./dataset/multiview_blender/scissors/scissors-set2 (150)/Cam_2.npy,./dataset/multiview_blender/scissors/scissors-set2 (150)/Cam_4.npy,./dataset/multiview_blender/scissors/scissors-set2 (150)/Cam_5.npy,train
ok,ok_6184,./dataset/multiview_blender/ok/ok_6184/Cam_0.npy,./dataset/multiview_blender/ok/ok_6184/Cam_2.npy,./dataset/multiview_blender/ok/ok_6184/Cam_4.npy,./dataset/multiview_blender/ok/ok_6184/Cam_5.npy,train
thumbdown,thumbdown_6242,./dataset/multiview_blender/thumbdown/thumbdown_6242/Cam_0.npy,./dataset/multiview_blender/thumbdown/thumbdown_6242/Cam_2.npy,./dataset/multiview_blender/thumbdown/thumbdown_6242/Cam_4.npy,./dataset/multiview_blender/thumbdown/thumbdown_6242/Cam_5.npy,train
paper,paper-set2 (233),./dataset/multiview_blender/paper/paper-set2 (233)/Cam_0.npy,./dataset/multiview_blender/paper/paper-set2 (233)/Cam_2.npy,./dataset/multiview_blender/paper/paper-set2 (233)/Cam_4.npy,./dataset/multiview_blender/paper/paper-set2 (233)/Cam_5.npy,train
thumbup,thumbup (151),./dataset/multiview_blender/thumbup/thumbup (151)/Cam_0.npy,./dataset/multiview_blender/thumbup/thumbup (151)/Cam_2.npy,./dataset/multiview_blender/thumbup/thumbup (151)/Cam_4.npy,./dataset/multiview_blender/thumbup/thumbup (151)/Cam_5.npy,train
thumbup,thumbup (7),./dataset/multiview_blender/thumbup/thumbup (7)/Cam_0.npy,./dataset/multiview_blender/thumbup/thumbup (7)/Cam_2.npy,./dataset/multiview_blender/thumbup/thumbup (7)/Cam_4.npy,./dataset/multiview_blender/thumbup/thumbup (7)/Cam_5.npy,train
ok,ok_4100,./dataset/multiview_blender/ok/ok_4100/Cam_0.npy,./dataset/multiview_blender/ok/ok_4100/Cam_2.npy,./dataset/multiview_blender/ok/ok_4100/Cam_4.npy,./dataset/multiview_blender/ok/ok_4100/Cam_5.npy,train
thumbdown,thumbdown (230),./dataset/multiview_blender/thumbdown/thumbdown (230)/Cam_0.npy,./dataset/multiview_blender/thumbdown/thumbdown (230)/Cam_2.npy,./dataset/multiview_blender/thumbdown/thumbdown (230)/Cam_4.npy,./dataset/multiview_blender/thumbdown/thumbdown (230)/Cam_5.npy,train
the-finger,the-finger_1357,./dataset/multiview_blender/the-finger/the-finger_1357/Cam_0.npy,./dataset/multiview_blender/the-finger/the-finger_1357/Cam_2.npy,./dataset/multiview_blender/the-finger/the-finger_1357/Cam_4.npy,./dataset/multiview_blender/the-finger/the-finger_1357/Cam_5.npy,train
ok,ok_Set2_ (406),./dataset/multiview_blender/ok/ok_Set2_ (406)/Cam_0.npy,./dataset/multiview_blender/ok/ok_Set2_ (406)/Cam_2.npy,./dataset/multiview_blender/ok/ok_Set2_ (406)/Cam_4.npy,./dataset/multiview_blender/ok/ok_Set2_ (406)/Cam_5.npy,train
