action,sample_id,input_path,split,source
rock,rock-set2 (65),./dataset/skeleton_final_v2/rock/rock-set2 (65).npy,train,original_3d
rock,rock-set2 (65)__Cam_0,./dataset/multiview3d_blender/rock/rock-set2 (65)/Cam_0.npy,train,multiview3d_Cam_0
rock,rock-set2 (65)__Cam_2,./dataset/multiview3d_blender/rock/rock-set2 (65)/Cam_2.npy,train,multiview3d_Cam_2
rock,rock-set2 (65)__Cam_4,./dataset/multiview3d_blender/rock/rock-set2 (65)/Cam_4.npy,train,multiview3d_Cam_4
rock,rock-set2 (65)__Cam_5,./dataset/multiview3d_blender/rock/rock-set2 (65)/Cam_5.npy,train,multiview3d_Cam_5
ok,ok_Set2_ (242),./dataset/skeleton_final_v2/ok/ok_Set2_ (242).npy,train,original_3d
ok,ok_Set2_ (242)__Cam_0,./dataset/multiview3d_blender/ok/ok_Set2_ (242)/Cam_0.npy,train,multiview3d_Cam_0
ok,ok_Set2_ (242)__Cam_2,./dataset/multiview3d_blender/ok/ok_Set2_ (242)/Cam_2.npy,train,multiview3d_Cam_2
ok,ok_Set2_ (242)__Cam_4,./dataset/multiview3d_blender/ok/ok_Set2_ (242)/Cam_4.npy,train,multiview3d_Cam_4
ok,ok_Set2_ (242)__Cam_5,./dataset/multiview3d_blender/ok/ok_Set2_ (242)/Cam_5.npy,train,multiview3d_Cam_5
thumbdown,thumbdown (152),./dataset/skeleton_final_v2/thumbdown/thumbdown (152).npy,train,original_3d
thumbdown,thumbdown (152)__Cam_0,./dataset/multiview3d_blender/thumbdown/thumbdown (152)/Cam_0.npy,train,multiview3d_Cam_0
thumbdown,thumbdown (152)__Cam_2,./dataset/multiview3d_blender/thumbdown/thumbdown (152)/Cam_2.npy,train,multiview3d_Cam_2
thumbdown,thumbdown (152)__Cam_4,./dataset/multiview3d_blender/thumbdown/thumbdown (152)/Cam_4.npy,train,multiview3d_Cam_4
thumbdown,thumbdown (152)__Cam_5,./dataset/multiview3d_blender/thumbdown/thumbdown (152)/Cam_5.npy,train,multiview3d_Cam_5
thumbdown,thumbdown_864,./dataset/skeleton_final_v2/thumbdown/thumbdown_864.npy,train,original_3d
thumbdown,thumbdown_864__Cam_0,./dataset/multiview3d_blender/thumbdown/thumbdown_864/Cam_0.npy,train,multiview3d_Cam_0
thumbdown,thumbdown_864__Cam_2,./dataset/multiview3d_blender/thumbdown/thumbdown_864/Cam_2.npy,train,multiview3d_Cam_2
thumbdown,thumbdown_864__Cam_4,./dataset/multiview3d_blender/thumbdown/thumbdown_864/Cam_4.npy,train,multiview3d_Cam_4
thumbdown,thumbdown_864__Cam_5,./dataset/multiview3d_blender/thumbdown/thumbdown_864/Cam_5.npy,train,multiview3d_Cam_5
scissors,scissors-set2 (183),./dataset/skeleton_final_v2/scissors/scissors-set2 (183).npy,train,original_3d
scissors,scissors-set2 (183)__Cam_0,./dataset/multiview3d_blender/scissors/scissors-set2 (183)/Cam_0.npy,train,multiview3d_Cam_0
scissors,scissors-set2 (183)__Cam_2,./dataset/multiview3d_blender/scissors/scissors-set2 (183)/Cam_2.npy,train,multiview3d_Cam_2
scissors,scissors-set2 (183)__Cam_4,./dataset/multiview3d_blender/scissors/scissors-set2 (183)/Cam_4.npy,train,multiview3d_Cam_4
scissors,scissors-set2 (183)__Cam_5,./dataset/multiview3d_blender/scissors/scissors-set2 (183)/Cam_5.npy,train,multiview3d_Cam_5
thumbdown,thumbdown (149),./dataset/skeleton_final_v2/thumbdown/thumbdown (149).npy,train,original_3d
thumbdown,thumbdown (149)__Cam_0,./dataset/multiview3d_blender/thumbdown/thumbdown (149)/Cam_0.npy,train,multiview3d_Cam_0
thumbdown,thumbdown (149)__Cam_2,./dataset/multiview3d_blender/thumbdown/thumbdown (149)/Cam_2.npy,train,multiview3d_Cam_2
