action,sample_id,aug_id,input_path,split
rock,rock-set2 (65),rock-set2 (65)_rot000,./dataset/rot3d_salux/rock/rock-set2 (65)_rot000.npy,train
rock,rock-set2 (65),rock-set2 (65)_rotm015,./dataset/rot3d_salux/rock/rock-set2 (65)_rotm015.npy,train
rock,rock-set2 (65),rock-set2 (65)_rotm030,./dataset/rot3d_salux/rock/rock-set2 (65)_rotm030.npy,train
rock,rock-set2 (65),rock-set2 (65)_rotm045,./dataset/rot3d_salux/rock/rock-set2 (65)_rotm045.npy,train
rock,rock-set2 (65),rock-set2 (65)_rotm060,./dataset/rot3d_salux/rock/rock-set2 (65)_rotm060.npy,train
rock,rock-set2 (65),rock-set2 (65)_rotm075,./dataset/rot3d_salux/rock/rock-set2 (65)_rotm075.npy,train
rock,rock-set2 (65),rock-set2 (65)_rotp000,./dataset/rot3d_salux/rock/rock-set2 (65)_rotp000.npy,train
rock,rock-set2 (65),rock-set2 (65)_rotp015,./dataset/rot3d_salux/rock/rock-set2 (65)_rotp015.npy,train
rock,rock-set2 (65),rock-set2 (65)_rotp030,./dataset/rot3d_salux/rock/rock-set2 (65)_rotp030.npy,train
rock,rock-set2 (65),rock-set2 (65)_rotp045,./dataset/rot3d_salux/rock/rock-set2 (65)_rotp045.npy,train
rock,rock-set2 (65),rock-set2 (65)_rotp060,./dataset/rot3d_salux/rock/rock-set2 (65)_rotp060.npy,train
rock,rock-set2 (65),rock-set2 (65)_rotp075,./dataset/rot3d_salux/rock/rock-set2 (65)_rotp075.npy,train
rock,rock-set2 (65),rock-set2 (65)_rotp090,./dataset/rot3d_salux/rock/rock-set2 (65)_rotp090.npy,train
rock,rock-set2 (65),rock-set2 (65)_rotp135,./dataset/rot3d_salux/rock/rock-set2 (65)_rotp135.npy,train
ok,ok_Set2_ (242),ok_Set2_ (242)_rot000,./dataset/rot3d_salux/ok/ok_Set2_ (242)_rot000.npy,train
ok,ok_Set2_ (242),ok_Set2_ (242)_rotm015,./dataset/rot3d_salux/ok/ok_Set2_ (242)_rotm015.npy,train
ok,ok_Set2_ (242),ok_Set2_ (242)_rotm030,./dataset/rot3d_salux/ok/ok_Set2_ (242)_rotm030.npy,train
ok,ok_Set2_ (242),ok_Set2_ (242)_rotm045,./dataset/rot3d_salux/ok/ok_Set2_ (242)_rotm045.npy,train
ok,ok_Set2_ (242),ok_Set2_ (242)_rotm060,./dataset/rot3d_salux/ok/ok_Set2_ (242)_rotm060.npy,train
ok,ok_Set2_ (242),ok_Set2_ (242)_rotm075,./dataset/rot3d_salux/ok/ok_Set2_ (242)_rotm075.npy,train
ok,ok_Set2_ (242),ok_Set2_ (242)_rotp000,./dataset/rot3d_salux/ok/ok_Set2_ (242)_rotp000.npy,train
ok,ok_Set2_ (242),ok_Set2_ (242)_rotp015,./dataset/rot3d_salux/ok/ok_Set2_ (242)_rotp015.npy,train
ok,ok_Set2_ (242),ok_Set2_ (242)_rotp030,./dataset/rot3d_salux/ok/ok_Set2_ (242)_rotp030.npy,train
ok,ok_Set2_ (242),ok_Set2_ (242)_rotp045,./dataset/rot3d_salux/ok/ok_Set2_ (242)_rotp045.npy,train
