action,render_pose,sample_id,split,skeleton_path,skeleton_orig_path,num_existing_cams,num_existing_skeleton_cams,rgb_cam_0_path,skeleton_cam_0_path,rgb_cam_1_path,skeleton_cam_1_path,rgb_cam_2_path,skeleton_cam_2_path,rgb_cam_3_path,skeleton_cam_3_path,rgb_cam_4_path,skeleton_cam_4_path,rgb_cam_5_path,skeleton_cam_5_path,rgb_cam_6_path,skeleton_cam_6_path,rgb_cam_7_path,skeleton_cam_7_path
ok,ok,ok (106),train,./dataset/skeleton_final_v2/ok/ok (106).npy,./dataset/skeleton_final_v2/ok/ok (106).npy,8,8,./renders_ok/ok (106)/ok (106)_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok (106)_cam0.npy,./renders_ok/ok (106)/ok (106)_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok (106)_cam1.npy,./renders_ok/ok (106)/ok (106)_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok (106)_cam2.npy,./renders_ok/ok (106)/ok (106)_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok (106)_cam3.npy,./renders_ok/ok (106)/ok (106)_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok (106)_cam4.npy,./renders_ok/ok (106)/ok (106)_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok (106)_cam5.npy,./renders_ok/ok (106)/ok (106)_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok (106)_cam6.npy,./renders_ok/ok (106)/ok (106)_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok (106)_cam7.npy
ok,ok,ok_6986,train,./dataset/skeleton_final_v2/ok/ok_6986.npy,./dataset/skeleton_final_v2/ok/ok_6986.npy,8,8,./renders_ok/ok_6986/ok_6986_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok_6986_cam0.npy,./renders_ok/ok_6986/ok_6986_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok_6986_cam1.npy,./renders_ok/ok_6986/ok_6986_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok_6986_cam2.npy,./renders_ok/ok_6986/ok_6986_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok_6986_cam3.npy,./renders_ok/ok_6986/ok_6986_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok_6986_cam4.npy,./renders_ok/ok_6986/ok_6986_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok_6986_cam5.npy,./renders_ok/ok_6986/ok_6986_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok_6986_cam6.npy,./renders_ok/ok_6986/ok_6986_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok_6986_cam7.npy
ok,ok,ok_2629,train,./dataset/skeleton_final_v2/ok/ok_2629.npy,./dataset/skeleton_final_v2/ok/ok_2629.npy,8,8,./renders_ok/ok_2629/ok_2629_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2629_cam0.npy,./renders_ok/ok_2629/ok_2629_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2629_cam1.npy,./renders_ok/ok_2629/ok_2629_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2629_cam2.npy,./renders_ok/ok_2629/ok_2629_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2629_cam3.npy,./renders_ok/ok_2629/ok_2629_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2629_cam4.npy,./renders_ok/ok_2629/ok_2629_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2629_cam5.npy,./renders_ok/ok_2629/ok_2629_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2629_cam6.npy,./renders_ok/ok_2629/ok_2629_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2629_cam7.npy
ok,ok,ok_5253,train,./dataset/skeleton_final_v2/ok/ok_5253.npy,./dataset/skeleton_final_v2/ok/ok_5253.npy,8,8,./renders_ok/ok_5253/ok_5253_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok_5253_cam0.npy,./renders_ok/ok_5253/ok_5253_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok_5253_cam1.npy,./renders_ok/ok_5253/ok_5253_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok_5253_cam2.npy,./renders_ok/ok_5253/ok_5253_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok_5253_cam3.npy,./renders_ok/ok_5253/ok_5253_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok_5253_cam4.npy,./renders_ok/ok_5253/ok_5253_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok_5253_cam5.npy,./renders_ok/ok_5253/ok_5253_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok_5253_cam6.npy,./renders_ok/ok_5253/ok_5253_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok_5253_cam7.npy
ok,ok,ok_2896,train,./dataset/skeleton_final_v2/ok/ok_2896.npy,./dataset/skeleton_final_v2/ok/ok_2896.npy,8,8,./renders_ok/ok_2896/ok_2896_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2896_cam0.npy,./renders_ok/ok_2896/ok_2896_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2896_cam1.npy,./renders_ok/ok_2896/ok_2896_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2896_cam2.npy,./renders_ok/ok_2896/ok_2896_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2896_cam3.npy,./renders_ok/ok_2896/ok_2896_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2896_cam4.npy,./renders_ok/ok_2896/ok_2896_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2896_cam5.npy,./renders_ok/ok_2896/ok_2896_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2896_cam6.npy,./renders_ok/ok_2896/ok_2896_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2896_cam7.npy
ok,ok,ok (20),train,./dataset/skeleton_final_v2/ok/ok (20).npy,./dataset/skeleton_final_v2/ok/ok (20).npy,8,8,./renders_ok/ok (20)/ok (20)_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok (20)_cam0.npy,./renders_ok/ok (20)/ok (20)_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok (20)_cam1.npy,./renders_ok/ok (20)/ok (20)_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok (20)_cam2.npy,./renders_ok/ok (20)/ok (20)_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok (20)_cam3.npy,./renders_ok/ok (20)/ok (20)_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok (20)_cam4.npy,./renders_ok/ok (20)/ok (20)_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok (20)_cam5.npy,./renders_ok/ok (20)/ok (20)_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok (20)_cam6.npy,./renders_ok/ok (20)/ok (20)_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok (20)_cam7.npy
ok,ok,ok_Set2_ (215),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (215).npy,./dataset/skeleton_final_v2/ok/ok_Set2_ (215).npy,8,8,./renders_ok/ok_Set2_ (215)/ok_Set2_ (215)_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (215)_cam0.npy,./renders_ok/ok_Set2_ (215)/ok_Set2_ (215)_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (215)_cam1.npy,./renders_ok/ok_Set2_ (215)/ok_Set2_ (215)_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (215)_cam2.npy,./renders_ok/ok_Set2_ (215)/ok_Set2_ (215)_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (215)_cam3.npy,./renders_ok/ok_Set2_ (215)/ok_Set2_ (215)_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (215)_cam4.npy,./renders_ok/ok_Set2_ (215)/ok_Set2_ (215)_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (215)_cam5.npy,./renders_ok/ok_Set2_ (215)/ok_Set2_ (215)_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (215)_cam6.npy,./renders_ok/ok_Set2_ (215)/ok_Set2_ (215)_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (215)_cam7.npy
ok,ok,ok_Set2_ (117),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (117).npy,./dataset/skeleton_final_v2/ok/ok_Set2_ (117).npy,8,8,./renders_ok/ok_Set2_ (117)/ok_Set2_ (117)_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (117)_cam0.npy,./renders_ok/ok_Set2_ (117)/ok_Set2_ (117)_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (117)_cam1.npy,./renders_ok/ok_Set2_ (117)/ok_Set2_ (117)_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (117)_cam2.npy,./renders_ok/ok_Set2_ (117)/ok_Set2_ (117)_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (117)_cam3.npy,./renders_ok/ok_Set2_ (117)/ok_Set2_ (117)_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (117)_cam4.npy,./renders_ok/ok_Set2_ (117)/ok_Set2_ (117)_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (117)_cam5.npy,./renders_ok/ok_Set2_ (117)/ok_Set2_ (117)_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (117)_cam6.npy,./renders_ok/ok_Set2_ (117)/ok_Set2_ (117)_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (117)_cam7.npy
ok,ok,ok (203),train,./dataset/skeleton_final_v2/ok/ok (203).npy,./dataset/skeleton_final_v2/ok/ok (203).npy,8,8,./renders_ok/ok (203)/ok (203)_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok (203)_cam0.npy,./renders_ok/ok (203)/ok (203)_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok (203)_cam1.npy,./renders_ok/ok (203)/ok (203)_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok (203)_cam2.npy,./renders_ok/ok (203)/ok (203)_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok (203)_cam3.npy,./renders_ok/ok (203)/ok (203)_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok (203)_cam4.npy,./renders_ok/ok (203)/ok (203)_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok (203)_cam5.npy,./renders_ok/ok (203)/ok (203)_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok (203)_cam6.npy,./renders_ok/ok (203)/ok (203)_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok (203)_cam7.npy
ok,ok,ok_1580,train,./dataset/skeleton_final_v2/ok/ok_1580.npy,./dataset/skeleton_final_v2/ok/ok_1580.npy,8,8,./renders_ok/ok_1580/ok_1580_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok_1580_cam0.npy,./renders_ok/ok_1580/ok_1580_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok_1580_cam1.npy,./renders_ok/ok_1580/ok_1580_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok_1580_cam2.npy,./renders_ok/ok_1580/ok_1580_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok_1580_cam3.npy,./renders_ok/ok_1580/ok_1580_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok_1580_cam4.npy,./renders_ok/ok_1580/ok_1580_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok_1580_cam5.npy,./renders_ok/ok_1580/ok_1580_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok_1580_cam6.npy,./renders_ok/ok_1580/ok_1580_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok_1580_cam7.npy
