action,sample_id,split,image_path,skeleton_path
ok,ok_1532,test,./data/raw/FullLabelled/ok/ok_1532.jpg,./dataset/skeleton_final_v2/ok/ok_1532.npy
paper,paper-set2 (35),test,./data/raw/FullLabelled/paper/paper-set2 (35).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (35).npy
scissors,scissors (272),test,./data/raw/FullLabelled/scissors/scissors (272).jpg,./dataset/skeleton_final_v2/scissors/scissors (272).npy
paper,paper (151),test,./data/raw/FullLabelled/paper/paper (151).jpg,./dataset/skeleton_final_v2/paper/paper (151).npy
scissors,scissors (435),test,./data/raw/FullLabelled/scissors/scissors (435).jpg,./dataset/skeleton_final_v2/scissors/scissors (435).npy
paper,paper-set2 (212),test,./data/raw/FullLabelled/paper/paper-set2 (212).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (212).npy
ok,ok_Set2_ (542),test,./data/raw/FullLabelled/ok/ok_Set2_ (542).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (542).npy
ok,ok_Set2_ (456),test,./data/raw/FullLabelled/ok/ok_Set2_ (456).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (456).npy
scissors,scissors_3838,test,./data/raw/FullLabelled/scissors/scissors_3838.jpg,./dataset/skeleton_final_v2/scissors/scissors_3838.npy
scissors,scissors-set2 (735),test,./data/raw/FullLabelled/scissors/scissors-set2 (735).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (735).npy
rock,rock-set2 (179),test,./data/raw/FullLabelled/rock/rock-set2 (179).jpg,./dataset/skeleton_final_v2/rock/rock-set2 (179).npy
paper,paper-set2 (43),test,./data/raw/FullLabelled/paper/paper-set2 (43).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (43).npy
rock,rock_6325,test,./data/raw/FullLabelled/rock/rock_6325.jpg,./dataset/skeleton_final_v2/rock/rock_6325.npy
scissors,scissors-set2 (38),test,./data/raw/FullLabelled/scissors/scissors-set2 (38).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (38).npy
the-finger,the-finger-set2 (309),test,./data/raw/FullLabelled/the-finger/the-finger-set2 (309).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (309).npy
paper,paper (123),test,./data/raw/FullLabelled/paper/paper (123).jpg,./dataset/skeleton_final_v2/paper/paper (123).npy
ok,ok (263),test,./data/raw/FullLabelled/ok/ok (263).jpg,./dataset/skeleton_final_v2/ok/ok (263).npy
paper,paper-set2 (341),test,./data/raw/FullLabelled/paper/paper-set2 (341).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (341).npy
scissors,scissors_6168,test,./data/raw/FullLabelled/scissors/scissors_6168.jpg,./dataset/skeleton_final_v2/scissors/scissors_6168.npy
scissors,scissors_5744,test,./data/raw/FullLabelled/scissors/scissors_5744.jpg,./dataset/skeleton_final_v2/scissors/scissors_5744.npy
scissors,scissors (473),test,./data/raw/FullLabelled/scissors/scissors (473).jpg,./dataset/skeleton_final_v2/scissors/scissors (473).npy
the-finger,the-finger (135),test,./data/raw/FullLabelled/the-finger/the-finger (135).jpg,./dataset/skeleton_final_v2/the-finger/the-finger (135).npy
paper,paper (124),test,./data/raw/FullLabelled/paper/paper (124).jpg,./dataset/skeleton_final_v2/paper/paper (124).npy
paper,paper-set2 (280),test,./data/raw/FullLabelled/paper/paper-set2 (280).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (280).npy
