action,sample_id,split,image_path,skeleton_path,mphand_bbox_x1,mphand_bbox_y1,mphand_bbox_x2,mphand_bbox_y2
ok,ok_1532,test,./data/raw/FullLabelled/ok/ok_1532.jpg,./dataset/skeleton_final_v2/ok/ok_1532.npy,0.08155670762062073,0.1367306113243103,0.716634213924408,0.7419880628585815
paper,paper-set2 (35),test,./data/raw/FullLabelled/paper/paper-set2 (35).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (35).npy,0.1017860472202301,0.09841340780258179,0.8101845979690552,0.9011820554733276
scissors,scissors (272),test,./data/raw/FullLabelled/scissors/scissors (272).jpg,./dataset/skeleton_final_v2/scissors/scissors (272).npy,0.1868327260017395,0.14382818341255188,0.8128374218940735,0.9020875692367554
paper,paper (151),test,./data/raw/FullLabelled/paper/paper (151).jpg,./dataset/skeleton_final_v2/paper/paper (151).npy,0.0384904146194458,0.06708234548568726,0.833406925201416,0.8969091176986694
scissors,scissors (435),test,./data/raw/FullLabelled/scissors/scissors (435).jpg,./dataset/skeleton_final_v2/scissors/scissors (435).npy,0.11011996865272522,0.09522408246994019,0.8140763640403748,0.8971271514892578
paper,paper-set2 (212),test,./data/raw/FullLabelled/paper/paper-set2 (212).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (212).npy,0.09406009316444397,0.09180888533592224,0.8480589389801025,0.8755545616149902
ok,ok_Set2_ (542),test,./data/raw/FullLabelled/ok/ok_Set2_ (542).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (542).npy,0.04744449257850647,0.10298213362693787,0.8104202747344971,0.8905659914016724
ok,ok_Set2_ (456),test,./data/raw/FullLabelled/ok/ok_Set2_ (456).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (456).npy,0.1690148413181305,0.10818910598754883,0.7263543605804443,0.7884373664855957
scissors,scissors_3838,test,./data/raw/FullLabelled/scissors/scissors_3838.jpg,./dataset/skeleton_final_v2/scissors/scissors_3838.npy,0.13395285606384277,0.05858325958251953,0.8701155781745911,0.922814130783081
scissors,scissors-set2 (735),test,./data/raw/FullLabelled/scissors/scissors-set2 (735).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (735).npy,0.13725066184997559,0.06280353665351868,0.8452346324920654,0.92003333568573
rock,rock-set2 (179),test,./data/raw/FullLabelled/rock/rock-set2 (179).jpg,./dataset/skeleton_final_v2/rock/rock-set2 (179).npy,0.12645360827445984,0.09391703456640244,0.7599215507507324,0.6873475313186646
paper,paper-set2 (43),test,./data/raw/FullLabelled/paper/paper-set2 (43).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (43).npy,0.10263696312904358,0.09997308254241943,0.8244433403015137,0.9070210456848145
rock,rock_6325,test,./data/raw/FullLabelled/rock/rock_6325.jpg,./dataset/skeleton_final_v2/rock/rock_6325.npy,0.18837016820907593,0.15287300944328308,0.7429845333099365,0.724930465221405
scissors,scissors-set2 (38),test,./data/raw/FullLabelled/scissors/scissors-set2 (38).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (38).npy,0.15200050175189972,0.109982430934906,0.7263484001159668,0.843813419342041
the-finger,the-finger-set2 (309),test,./data/raw/FullLabelled/the-finger/the-finger-set2 (309).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (309).npy,0.13540327548980713,0.060748279094696045,0.7449264526367188,0.9569849967956543
