action,sample_id,split,image_path,skeleton_path
rock,rock-set2 (65),train,./data/raw/FullLabelled/rock/rock-set2 (65).jpg,./dataset/skeleton_final_v2/rock/rock-set2 (65).npy
ok,ok_Set2_ (242),train,./data/raw/FullLabelled/ok/ok_Set2_ (242).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (242).npy
scissors,scissors-set2 (183),train,./data/raw/FullLabelled/scissors/scissors-set2 (183).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (183).npy
ok,ok_Set2_ (568),train,./data/raw/FullLabelled/ok/ok_Set2_ (568).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (568).npy
the-finger,the-finger-set2 (189),train,./data/raw/FullLabelled/the-finger/the-finger-set2 (189).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (189).npy
ok,ok_4019,train,./data/raw/FullLabelled/ok/ok_4019.jpg,./dataset/skeleton_final_v2/ok/ok_4019.npy
the-finger,the-finger_2282,train,./data/raw/FullLabelled/the-finger/the-finger_2282.jpg,./dataset/skeleton_final_v2/the-finger/the-finger_2282.npy
scissors,scissors-set2 (150),train,./data/raw/FullLabelled/scissors/scissors-set2 (150).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (150).npy
ok,ok_6184,train,./data/raw/FullLabelled/ok/ok_6184.jpg,./dataset/skeleton_final_v2/ok/ok_6184.npy
paper,paper-set2 (233),train,./data/raw/FullLabelled/paper/paper-set2 (233).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (233).npy
ok,ok_4100,train,./data/raw/FullLabelled/ok/ok_4100.jpg,./dataset/skeleton_final_v2/ok/ok_4100.npy
the-finger,the-finger_1357,train,./data/raw/FullLabelled/the-finger/the-finger_1357.jpg,./dataset/skeleton_final_v2/the-finger/the-finger_1357.npy
ok,ok_Set2_ (406),train,./data/raw/FullLabelled/ok/ok_Set2_ (406).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (406).npy
paper,paper_1854,train,./data/raw/FullLabelled/paper/paper_1854.jpg,./dataset/skeleton_final_v2/paper/paper_1854.npy
the-finger,the-finger (121),train,./data/raw/FullLabelled/the-finger/the-finger (121).jpg,./dataset/skeleton_final_v2/the-finger/the-finger (121).npy
scissors,scissors-set2 (320),train,./data/raw/FullLabelled/scissors/scissors-set2 (320).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (320).npy
ok,ok_6992,train,./data/raw/FullLabelled/ok/ok_6992.jpg,./dataset/skeleton_final_v2/ok/ok_6992.npy
