action,sample_id,split,mediapipe_path,refined_path
ok,ok (104),test,./dataset/skeleton_final_v2/ok/ok (104).npy,./batch_ok/fitted/ok (104).npy
ok,ok (108),test,./dataset/skeleton_final_v2/ok/ok (108).npy,./batch_ok/fitted/ok (108).npy
ok,ok (115),test,./dataset/skeleton_final_v2/ok/ok (115).npy,./batch_ok/fitted/ok (115).npy
ok,ok (123),test,./dataset/skeleton_final_v2/ok/ok (123).npy,./batch_ok/fitted/ok (123).npy
ok,ok (138),test,./dataset/skeleton_final_v2/ok/ok (138).npy,./batch_ok/fitted/ok (138).npy
ok,ok (146),test,./dataset/skeleton_final_v2/ok/ok (146).npy,./batch_ok/fitted/ok (146).npy
ok,ok (160),test,./dataset/skeleton_final_v2/ok/ok (160).npy,./batch_ok/fitted/ok (160).npy
ok,ok (162),test,./dataset/skeleton_final_v2/ok/ok (162).npy,./batch_ok/fitted/ok (162).npy
ok,ok (2),test,./dataset/skeleton_final_v2/ok/ok (2).npy,./batch_ok/fitted/ok (2).npy
ok,ok (205),test,./dataset/skeleton_final_v2/ok/ok (205).npy,./batch_ok/fitted/ok (205).npy
ok,ok (219),test,./dataset/skeleton_final_v2/ok/ok (219).npy,./batch_ok/fitted/ok (219).npy
ok,ok (223),test,./dataset/skeleton_final_v2/ok/ok (223).npy,./batch_ok/fitted/ok (223).npy
ok,ok (228),test,./dataset/skeleton_final_v2/ok/ok (228).npy,./batch_ok/fitted/ok (228).npy
ok,ok (24),test,./dataset/skeleton_final_v2/ok/ok (24).npy,./batch_ok/fitted/ok (24).npy
ok,ok (241),test,./dataset/skeleton_final_v2/ok/ok (241).npy,./batch_ok/fitted/ok (241).npy
ok,ok (250),test,./dataset/skeleton_final_v2/ok/ok (250).npy,./batch_ok/fitted/ok (250).npy
ok,ok (252),test,./dataset/skeleton_final_v2/ok/ok (252).npy,./batch_ok/fitted/ok (252).npy
ok,ok (253),test,./dataset/skeleton_final_v2/ok/ok (253).npy,./batch_ok/fitted/ok (253).npy
ok,ok (254),test,./dataset/skeleton_final_v2/ok/ok (254).npy,./batch_ok/fitted/ok (254).npy
ok,ok (263),test,./dataset/skeleton_final_v2/ok/ok (263).npy,./batch_ok/fitted/ok (263).npy
