action,source_action,sample_id,split,raw_path,refined_path
rock,rock,rock-set2 (65),train,./dataset/skeleton_final_v2/rock/rock-set2 (65).npy,./batch_rock/fitted/rock-set2 (65).npy
ok,ok,ok_Set2_ (242),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (242).npy,./batch_ok/fitted/ok_Set2_ (242).npy
thumb,thumbdown,thumbdown (152),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (152).npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown (152).npy
thumb,thumbdown,thumbdown_864,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_864.npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown_864.npy
scissors,scissors,scissors-set2 (183),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (183).npy,./batch_scissors/fitted/scissors-set2 (183).npy
thumb,thumbdown,thumbdown (149),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (149).npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown (149).npy
ok,ok,ok_Set2_ (568),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (568).npy,./batch_ok/fitted/ok_Set2_ (568).npy
thumb,thumbup,thumbup_6767,train,./dataset/skeleton_final_v2/thumbup/thumbup_6767.npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup_6767.npy
the-finger,the-finger,the-finger-set2 (189),train,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (189).npy,./batch_thefinger/fitted/the-finger-set2 (189).npy
ok,ok,ok_4019,train,./dataset/skeleton_final_v2/ok/ok_4019.npy,./batch_ok/fitted/ok_4019.npy
the-finger,the-finger,the-finger_2282,train,./dataset/skeleton_final_v2/the-finger/the-finger_2282.npy,./batch_thefinger/fitted/the-finger_2282.npy
scissors,scissors,scissors-set2 (150),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (150).npy,./batch_scissors/fitted/scissors-set2 (150).npy
ok,ok,ok_6184,train,./dataset/skeleton_final_v2/ok/ok_6184.npy,./batch_ok/fitted/ok_6184.npy
thumb,thumbdown,thumbdown_6242,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_6242.npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown_6242.npy
paper,paper,paper-set2 (233),train,./dataset/skeleton_final_v2/paper/paper-set2 (233).npy,./batch_paper/fitted/paper-set2 (233).npy
thumb,thumbup,thumbup (151),train,./dataset/skeleton_final_v2/thumbup/thumbup (151).npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup (151).npy
thumb,thumbup,thumbup (7),train,./dataset/skeleton_final_v2/thumbup/thumbup (7).npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup (7).npy
ok,ok,ok_4100,train,./dataset/skeleton_final_v2/ok/ok_4100.npy,./batch_ok/fitted/ok_4100.npy
thumb,thumbdown,thumbdown (230),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (230).npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown (230).npy
the-finger,the-finger,the-finger_1357,train,./dataset/skeleton_final_v2/the-finger/the-finger_1357.npy,./batch_thefinger/fitted/the-finger_1357.npy
ok,ok,ok_Set2_ (406),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (406).npy,./batch_ok/fitted/ok_Set2_ (406).npy
paper,paper,paper_1854,train,./dataset/skeleton_final_v2/paper/paper_1854.npy,./batch_paper/fitted/paper_1854.npy
the-finger,the-finger,the-finger (121),train,./dataset/skeleton_final_v2/the-finger/the-finger (121).npy,./batch_thefinger/fitted/the-finger (121).npy
scissors,scissors,scissors-set2 (320),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (320).npy,./batch_scissors/fitted/scissors-set2 (320).npy
ok,ok,ok_6992,train,./dataset/skeleton_final_v2/ok/ok_6992.npy,./batch_ok/fitted/ok_6992.npy
scissors,scissors,scissors (158),train,./dataset/skeleton_final_v2/scissors/scissors (158).npy,./batch_scissors/fitted/scissors (158).npy
scissors,scissors,scissors-set2 (573),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (573).npy,./batch_scissors/fitted/scissors-set2 (573).npy
thumb,thumbdown,thumbdown_8214,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_8214.npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown_8214.npy
ok,ok,ok_803,train,./dataset/skeleton_final_v2/ok/ok_803.npy,./batch_ok/fitted/ok_803.npy
ok,ok,ok_7674,train,./dataset/skeleton_final_v2/ok/ok_7674.npy,./batch_ok/fitted/ok_7674.npy
the-finger,the-finger,the-finger (150),train,./dataset/skeleton_final_v2/the-finger/the-finger (150).npy,./batch_thefinger/fitted/the-finger (150).npy
the-finger,the-finger,the-finger_7260,train,./dataset/skeleton_final_v2/the-finger/the-finger_7260.npy,./batch_thefinger/fitted/the-finger_7260.npy
scissors,scissors,scissors-set2 (567),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (567).npy,./batch_scissors/fitted/scissors-set2 (567).npy
ok,ok,ok_Set2_ (273),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (273).npy,./batch_ok/fitted/ok_Set2_ (273).npy
paper,paper,paper_25,train,./dataset/skeleton_final_v2/paper/paper_25.npy,./batch_paper/fitted/paper_25.npy
paper,paper,paper_4609,train,./dataset/skeleton_final_v2/paper/paper_4609.npy,./batch_paper/fitted/paper_4609.npy
paper,paper,paper_2499,train,./dataset/skeleton_final_v2/paper/paper_2499.npy,./batch_paper/fitted/paper_2499.npy
thumb,thumbdown,thumbdown (54),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (54).npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown (54).npy
paper,paper,paper (44),train,./dataset/skeleton_final_v2/paper/paper (44).npy,./batch_paper/fitted/paper (44).npy
rock,rock,rock (19),train,./dataset/skeleton_final_v2/rock/rock (19).npy,./batch_rock/fitted/rock (19).npy
ok,ok,ok_1197,train,./dataset/skeleton_final_v2/ok/ok_1197.npy,./batch_ok/fitted/ok_1197.npy
scissors,scissors,scissors (74),train,./dataset/skeleton_final_v2/scissors/scissors (74).npy,./batch_scissors/fitted/scissors (74).npy
