sample_id,raw_path,ground_truth,prediction,confidence,correct
IMG_6289,./test/skeleton_final_v2/ok/IMG_6289.npy,ok,ok,0.9809725284576416,True
IMG_6290,./test/skeleton_final_v2/ok/IMG_6290.npy,ok,paper,0.5226470232009888,False
IMG_6292,./test/skeleton_final_v2/ok/IMG_6292.npy,ok,ok,0.998976469039917,True
IMG_6327,./test/skeleton_final_v2/ok/IMG_6327.npy,ok,ok,0.9915607571601868,True
IMG_6329,./test/skeleton_final_v2/ok/IMG_6329.npy,ok,ok,0.9991973042488098,True
IMG_6362,./test/skeleton_final_v2/ok/IMG_6362.npy,ok,ok,0.9997918009757996,True
IMG_6363,./test/skeleton_final_v2/ok/IMG_6363.npy,ok,ok,0.9955762624740601,True
IMG_6396,./test/skeleton_final_v2/ok/IMG_6396.npy,ok,ok,0.9953814744949341,True
IMG_6434,./test/skeleton_final_v2/ok/IMG_6434.npy,ok,ok,0.9937811493873596,True
IMG_6437,./test/skeleton_final_v2/ok/IMG_6437.npy,ok,ok,0.9914490580558777,True
IMG_6472,./test/skeleton_final_v2/ok/IMG_6472.npy,ok,ok,0.9997538924217224,True
IMG_6474,./test/skeleton_final_v2/ok/IMG_6474.npy,ok,ok,0.927665650844574,True
IMG_6512,./test/skeleton_final_v2/ok/IMG_6512.npy,ok,ok,0.9515054225921631,True
IMG_6554,./test/skeleton_final_v2/ok/IMG_6554.npy,ok,the-finger,0.910528302192688,False
IMG_6555,./test/skeleton_final_v2/ok/IMG_6555.npy,ok,ok,0.9993959665298462,True
IMG_6591,./test/skeleton_final_v2/ok/IMG_6591.npy,ok,paper,0.7676403522491455,False
IMG_6623,./test/skeleton_final_v2/ok/IMG_6623.npy,ok,ok,0.5175827741622925,True
IMG_6624,./test/skeleton_final_v2/ok/IMG_6624.npy,ok,ok,0.9967946410179138,True
IMG_6712,./test/skeleton_final_v2/ok/IMG_6712.npy,ok,ok,0.9987735152244568,True
IMG_6714,./test/skeleton_final_v2/ok/IMG_6714.npy,ok,ok,0.9985654950141907,True
IMG_6738,./test/skeleton_final_v2/ok/IMG_6738.npy,ok,ok,0.9901884198188782,True
IMG_6803,./test/skeleton_final_v2/ok/IMG_6803.npy,ok,ok,0.9522933959960938,True
IMG_6805,./test/skeleton_final_v2/ok/IMG_6805.npy,ok,ok,0.957411527633667,True
IMG_6834,./test/skeleton_final_v2/ok/IMG_6834.npy,ok,ok,0.9992233514785767,True
IMG_6835,./test/skeleton_final_v2/ok/IMG_6835.npy,ok,ok,0.9996203184127808,True
IMG_6937,./test/skeleton_final_v2/ok/IMG_6937.npy,ok,ok,0.9988112449645996,True
IMG_6938,./test/skeleton_final_v2/ok/IMG_6938.npy,ok,ok,0.99665367603302,True
IMG_6967,./test/skeleton_final_v2/ok/IMG_6967.npy,ok,ok,0.8718473315238953,True
IMG_6968,./test/skeleton_final_v2/ok/IMG_6968.npy,ok,ok,0.8952186703681946,True
IMG_6969,./test/skeleton_final_v2/ok/IMG_6969.npy,ok,ok,0.9847056269645691,True
IMG_6970,./test/skeleton_final_v2/ok/IMG_6970.npy,ok,ok,0.5305802226066589,True
IMG_7001,./test/skeleton_final_v2/ok/IMG_7001.npy,ok,ok,0.9996837377548218,True
IMG_7036,./test/skeleton_final_v2/ok/IMG_7036.npy,ok,ok,0.999725878238678,True
IMG_7037,./test/skeleton_final_v2/ok/IMG_7037.npy,ok,ok,0.9785248637199402,True
IMG_7038,./test/skeleton_final_v2/ok/IMG_7038.npy,ok,ok,0.9968383312225342,True
IMG_7070,./test/skeleton_final_v2/ok/IMG_7070.npy,ok,ok,0.8778894543647766,True
IMG_7072,./test/skeleton_final_v2/ok/IMG_7072.npy,ok,the-finger,0.9420188069343567,False
IMG_7073,./test/skeleton_final_v2/ok/IMG_7073.npy,ok,ok,0.9983863830566406,True
IMG_7227,./test/skeleton_final_v2/ok/IMG_7227.npy,ok,ok,0.9926338791847229,True
IMG_7228,./test/skeleton_final_v2/ok/IMG_7228.npy,ok,ok,0.9844779968261719,True
IMG_7258,./test/skeleton_final_v2/ok/IMG_7258.npy,ok,ok,0.9986724853515625,True
IMG_7259,./test/skeleton_final_v2/ok/IMG_7259.npy,ok,ok,0.9957627654075623,True
IMG_7260,./test/skeleton_final_v2/ok/IMG_7260.npy,ok,ok,0.9990735054016113,True
IMG_7288,./test/skeleton_final_v2/ok/IMG_7288.npy,ok,ok,0.9994370341300964,True
IMG_7290,./test/skeleton_final_v2/ok/IMG_7290.npy,ok,ok,0.9971342086791992,True
IMG_7291,./test/skeleton_final_v2/ok/IMG_7291.npy,ok,ok,0.9956486821174622,True
IMG_7322,./test/skeleton_final_v2/ok/IMG_7322.npy,ok,ok,0.999026894569397,True
IMG_7323,./test/skeleton_final_v2/ok/IMG_7323.npy,ok,ok,0.9977426528930664,True
IMG_7351,./test/skeleton_final_v2/ok/IMG_7351.npy,ok,ok,0.9993101358413696,True
IMG_7352,./test/skeleton_final_v2/ok/IMG_7352.npy,ok,ok,0.9439254403114319,True
IMG_7354,./test/skeleton_final_v2/ok/IMG_7354.npy,ok,scissors,0.555515706539154,False
IMG_7355,./test/skeleton_final_v2/ok/IMG_7355.npy,ok,ok,0.9726753234863281,True
IMG_7391,./test/skeleton_final_v2/ok/IMG_7391.npy,ok,ok,0.9996945858001709,True
IMG_7394,./test/skeleton_final_v2/ok/IMG_7394.npy,ok,ok,0.9996942281723022,True
IMG_7416,./test/skeleton_final_v2/ok/IMG_7416.npy,ok,ok,0.9808955788612366,True
IMG_7418,./test/skeleton_final_v2/ok/IMG_7418.npy,ok,ok,0.9998966455459595,True
IMG_7448,./test/skeleton_final_v2/ok/IMG_7448.npy,ok,ok,0.9986176490783691,True
IMG_7484,./test/skeleton_final_v2/ok/IMG_7484.npy,ok,ok,0.9994174242019653,True
IMG_7529,./test/skeleton_final_v2/ok/IMG_7529.npy,ok,ok,0.9984270334243774,True
IMG_7550,./test/skeleton_final_v2/ok/IMG_7550.npy,ok,ok,0.9990113973617554,True
IMG_7581,./test/skeleton_final_v2/ok/IMG_7581.npy,ok,ok,0.5180514454841614,True
IMG_7582,./test/skeleton_final_v2/ok/IMG_7582.npy,ok,ok,0.9996106028556824,True
IMG_7583,./test/skeleton_final_v2/ok/IMG_7583.npy,ok,ok,0.9987555742263794,True
IMG_7584,./test/skeleton_final_v2/ok/IMG_7584.npy,ok,ok,0.999790370464325,True
IMG_7585,./test/skeleton_final_v2/ok/IMG_7585.npy,ok,ok,0.9714487791061401,True
IMG_7613,./test/skeleton_final_v2/ok/IMG_7613.npy,ok,ok,0.9993351101875305,True
IMG_7614,./test/skeleton_final_v2/ok/IMG_7614.npy,ok,the-finger,0.9222344756126404,False
IMG_7616,./test/skeleton_final_v2/ok/IMG_7616.npy,ok,ok,0.9992615580558777,True
IMG_7617,./test/skeleton_final_v2/ok/IMG_7617.npy,ok,ok,0.9984182119369507,True
IMG_7618,./test/skeleton_final_v2/ok/IMG_7618.npy,ok,ok,0.9971599578857422,True
IMG_7655,./test/skeleton_final_v2/ok/IMG_7655.npy,ok,ok,0.9994909763336182,True
IMG_7656,./test/skeleton_final_v2/ok/IMG_7656.npy,ok,ok,0.9743866920471191,True
IMG_7657,./test/skeleton_final_v2/ok/IMG_7657.npy,ok,paper,0.8066412806510925,False
IMG_7660,./test/skeleton_final_v2/ok/IMG_7660.npy,ok,ok,0.5602464079856873,True
IMG_7690,./test/skeleton_final_v2/ok/IMG_7690.npy,ok,ok,0.9991347193717957,True
IMG_7691,./test/skeleton_final_v2/ok/IMG_7691.npy,ok,ok,0.9977902173995972,True
IMG_7693,./test/skeleton_final_v2/ok/IMG_7693.npy,ok,ok,0.972625732421875,True
IMG_7722,./test/skeleton_final_v2/ok/IMG_7722.npy,ok,ok,0.9998394250869751,True
IMG_7723,./test/skeleton_final_v2/ok/IMG_7723.npy,ok,ok,0.9989954829216003,True
IMG_7753,./test/skeleton_final_v2/ok/IMG_7753.npy,ok,ok,0.9914755821228027,True
IMG_7756,./test/skeleton_final_v2/ok/IMG_7756.npy,ok,ok,0.9973524808883667,True
IMG_7782,./test/skeleton_final_v2/ok/IMG_7782.npy,ok,ok,0.9939126372337341,True
IMG_7783,./test/skeleton_final_v2/ok/IMG_7783.npy,ok,ok,0.9627088904380798,True
IMG_7786,./test/skeleton_final_v2/ok/IMG_7786.npy,ok,ok,0.9964398741722107,True
IMG_7854,./test/skeleton_final_v2/ok/IMG_7854.npy,ok,ok,0.9997296929359436,True
IMG_7887,./test/skeleton_final_v2/ok/IMG_7887.npy,ok,ok,0.9994903802871704,True
IMG_7888,./test/skeleton_final_v2/ok/IMG_7888.npy,ok,ok,0.8811319470405579,True
